"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","2404:6800:4003:d::7","2401:4900:889f:efdf:55ca:dade:821e:f4d2","UDP","1292","443  >  51579 Len=1230"
"2","0.000000","2404:6800:4003:d::7","2401:4900:889f:efdf:55ca:dade:821e:f4d2","UDP","1292","443  >  51579 Len=1230"
"3","0.000000","2404:6800:4003:d::7","2401:4900:889f:efdf:55ca:dade:821e:f4d2","UDP","1292","443  >  51579 Len=1230"
"4","0.000274","2404:6800:4003:d::7","2401:4900:889f:efdf:55ca:dade:821e:f4d2","UDP","1292","443  >  51579 Len=1230"
"5","0.004088","2404:6800:4003:d::7","2401:4900:889f:efdf:55ca:dade:821e:f4d2","UDP","1292","443  >  51579 Len=1230"
"6","0.004088","2404:6800:4003:d::7","2401:4900:889f:efdf:55ca:dade:821e:f4d2","UDP","1292","443  >  51579 Len=1230"
"7","0.004088","2404:6800:4003:d::7","2401:4900:889f:efdf:55ca:dade:821e:f4d2","UDP","1292","443  >  51579 Len=1230"
"8","0.004389","2404:6800:4003:d::7","2401:4900:889f:efdf:55ca:dade:821e:f4d2","UDP","1292","443  >  51579 Len=1230"
"9","0.004487","2401:4900:889f:efdf:55ca:dade:821e:f4d2","2404:6800:4003:d::7","UDP","95","51579  >  443 Len=33"
"10","0.007779","2404:6800:4003:d::7","2401:4900:889f:efdf:55ca:dade:821e:f4d2","UDP","1292","443  >  51579 Len=1230"
"11","0.007779","2404:6800:4003:d::7","2401:4900:889f:efdf:55ca:dade:821e:f4d2","UDP","1292","443  >  51579 Len=1230"
"12","0.007779","2404:6800:4003:d::7","2401:4900:889f:efdf:55ca:dade:821e:f4d2","UDP","1292","443  >  51579 Len=1230"
"13","0.008063","2404:6800:4003:d::7","2401:4900:889f:efdf:55ca:dade:821e:f4d2","UDP","1292","443  >  51579 Len=1230"
"14","0.010815","2404:6800:4003:d::7","2401:4900:889f:efdf:55ca:dade:821e:f4d2","UDP","1292","443  >  51579 Len=1230"
"15","0.010815","2404:6800:4003:d::7","2401:4900:889f:efdf:55ca:dade:821e:f4d2","UDP","1292","443  >  51579 Len=1230"
"16","0.010815","2404:6800:4003:d::7","2401:4900:889f:efdf:55ca:dade:821e:f4d2","UDP","1292","443  >  51579 Len=1230"
"17","0.011077","2404:6800:4003:d::7","2401:4900:889f:efdf:55ca:dade:821e:f4d2","UDP","1292","443  >  51579 Len=1230"
"18","0.015702","2404:6800:4003:d::7","2401:4900:889f:efdf:55ca:dade:821e:f4d2","UDP","1292","443  >  51579 Len=1230"
"19","0.015702","2404:6800:4003:d::7","2401:4900:889f:efdf:55ca:dade:821e:f4d2","UDP","1292","443  >  51579 Len=1230"
"20","0.015702","2404:6800:4003:d::7","2401:4900:889f:efdf:55ca:dade:821e:f4d2","UDP","1292","443  >  51579 Len=1230"
